

===== No.40 =====
(((33.0, 49.0), '+'), 'South'): 19
(((36.0, 36.0), '+'), 'South'): 17
(((14.0, 45.0), '+'), 'South'): 16
(((13.0, 9.0), '+'), 'West'): 10
(((19.0, 40.0), '+'), 'East'): 17
(((34.0, 47.0), '+'), 'West'): 21
(((40.0, 36.0), '+'), 'West'): 22
(((12.0, 7.0), '+'), 'South'): 6
(((41.0, 36.0), '+'), 'North'): 20
(((9.0, 46.0), '+'), 'South'): 14
(((7.0, 47.0), '+'), 'South'): 15
(((24.0, 46.0), '+'), 'North'): 18
(((4.0, 19.0), '+'), 'North'): 9
(((34.0, 15.0), '+'), 'West'): 17
(((24.0, 31.0), '+'), 'East'): 14
(((45.0, 17.0), '+'), 'South'): 21
(((10.0, 3.0), '+'), 'North'): 5
(((18.0, 45.0), '+'), 'North'): 18
(((9.0, 24.0), '+'), 'East'): 12
(((34.0, 33.0), '+'), 'East'): 18
(((47.0, 40.0), '+'), 'North'): 22
(((13.0, 36.0), '+'), 'West'): 15
(((0.0, 39.0), '+'), 'South'): 13
(((39.0, 42.0), '+'), 'North'): 21
(((39.0, 14.0), '+'), 'North'): 18
(((33.0, 46.0), '+'), 'West'): 20
(((14.0, 14.0), '+'), 'North'): 14
(((15.0, 38.0), '+'), 'West'): 16
(((40.0, 19.0), '+'), 'East'): 17
(((27.0, 0.0), '+'), 'North'): 9
(((24.0, 10.0), '+'), 'North'): 11
(((33.0, 29.0), '+'), 'North'): 16
(((29.0, 12.0), '+'), 'West'): 14
(((43.0, 6.0), '+'), 'North'): 19
(((20.0, 32.0), '+'), 'East'): 15
(((3.0, 5.0), '+'), 'North'): 3
(((4.0, 25.0), '+'), 'North'): 14
(((4.0, 30.0), '+'), 'North'): 12
(((12.0, 41.0), '+'), 'North'): 14
(((18.0, 39.0), '+'), 'West'): 15
(((16.0, 8.0), '+'), 'South'): 6
(((17.0, 29.0), '+'), 'East'): 17
(((19.0, 43.0), '+'), 'South'): 18
(((49.0, 40.0), '+'), 'West'): 22
(((22.0, 29.0), '+'), 'West'): 16
(((45.0, 33.0), '+'), 'South'): 20
(((43.0, 35.0), '+'), 'North'): 20
(((21.0, 13.0), '+'), 'South'): 15
(((35.0, 32.0), '+'), 'West'): 18
(((48.0, 27.0), '+'), 'South'): 20
(((30.0, 45.0), '+'), 'South'): 19
(((41.0, 12.0), '+'), 'North'): 18
(((44.0, 34.0), '+'), 'North'): 21
(((32.0, 38.0), '+'), 'South'): 18
(((30.0, 33.0), '+'), 'North'): 17
(((23.0, 20.0), '+'), 'South'): 17
(((44.0, 36.0), '+'), 'West'): 21
(((28.0, 34.0), '+'), 'West'): 18
(((22.0, 40.0), '+'), 'West'): 19
(((20.0, 40.0), '+'), 'West'): 18
(((14.0, 21.0), '+'), 'East'): 17
(((36.0, 30.0), '+'), 'East'): 19
(((9.0, 1.0), '+'), 'East'): 3
(((34.0, 6.0), '+'), 'East'): 14
(((36.0, 5.0), '+'), 'West'): 15
(((36.0, 25.0), '+'), 'East'): 18
(((48.0, 7.0), '+'), 'West'): 19
(((29.0, 28.0), '+'), 'North'): 14
(((41.0, 28.0), '+'), 'North'): 22
(((37.0, 46.0), '-'), 'West'): 1
(((40.0, 45.0), '+'), 'East'): 16
(((33.0, 30.0), '+'), 'West'): 17
(((25.0, 10.0), '+'), 'West'): 12
(((32.0, 41.0), '+'), 'North'): 20
(((32.0, 12.0), '+'), 'West'): 16
(((10.0, 9.0), '+'), 'North'): 10
(((9.0, 34.0), '+'), 'East'): 14
(((1.0, 37.0), '+'), 'South'): 13
(((30.0, 47.0), '+'), 'West'): 20
(((13.0, 11.0), '+'), 'South'): 9
(((20.0, 8.0), '+'), 'North'): 9
(((43.0, 44.0), '+'), 'East'): 21
(((43.0, 43.0), '+'), 'North'): 22
(((33.0, 12.0), '+'), 'North'): 16
(((23.0, 19.0), '+'), 'South'): 16
(((39.0, 24.0), '+'), 'South'): 19
(((22.0, 29.0), '+'), 'East'): 15
(((2.0, 35.0), '+'), 'East'): 13
(((2.0, 31.0), '+'), 'East'): 12
(((10.0, 24.0), '+'), 'West'): 18
(((29.0, 10.0), '+'), 'East'): 14
(((18.0, 28.0), '+'), 'West'): 18
(((37.0, 33.0), '+'), 'West'): 19
(((2.0, 33.0), '+'), 'East'): 12
(((44.0, 37.0), '+'), 'West'): 21
(((3.0, 41.0), '+'), 'East'): 14
(((11.0, 29.0), '+'), 'South'): 15
(((6.0, 10.0), '+'), 'South'): 3
(((29.0, 22.0), '+'), 'North'): 15
(((37.0, 20.0), '+'), 'East'): 19
(((1.0, 34.0), '+'), 'North'): 12
(((7.0, 42.0), '+'), 'West'): 14
(((3.0, 27.0), '+'), 'East'): 14
(((24.0, 36.0), '+'), 'North'): 17
(((34.0, 48.0), '+'), 'East'): 19
(((46.0, 33.0), '+'), 'West'): 21
(((29.0, 46.0), '+'), 'South'): 20
(((32.0, 37.0), '+'), 'West'): 18
(((45.0, 7.0), '+'), 'West'): 19
(((44.0, 45.0), '+'), 'South'): 21
(((27.0, 17.0), '+'), 'South'): 16
(((42.0, 7.0), '+'), 'West'): 19
(((41.0, 37.0), '+'), 'West'): 21
(((49.0, 48.0), '+'), 'South'): 20
(((20.0, 46.0), '+'), 'East'): 17
(((12.0, 39.0), '+'), 'East'): 15
(((47.0, 11.0), '+'), 'South'): 19
(((41.0, 25.0), '+'), 'North'): 21
(((47.0, 21.0), '+'), 'East'): 22
(((44.0, 7.0), '+'), 'West'): 19
(((30.0, 11.0), '+'), 'South'): 16
(((27.0, 31.0), '+'), 'East'): 15
(((20.0, 2.0), '+'), 'West'): 8
(((3.0, 48.0), '+'), 'West'): 14
(((0.0, 24.0), '+'), 'South'): 12
(((43.0, 20.0), '+'), 'South'): 18
(((29.0, 44.0), '+'), 'West'): 20
(((37.0, 37.0), '+'), 'North'): 21
(((10.0, 43.0), '+'), 'North'): 14
(((11.0, 3.0), '+'), 'East'): 4
(((30.0, 43.0), '+'), 'East'): 20
(((43.0, 10.0), '+'), 'North'): 18
(((37.0, 5.0), '+'), 'South'): 15
(((31.0, 18.0), '+'), 'South'): 17
(((25.0, 46.0), '+'), 'South'): 18
(((16.0, 23.0), '+'), 'South'): 20
(((26.0, 16.0), '+'), 'East'): 15
(((14.0, 34.0), '+'), 'West'): 13
(((21.0, 40.0), '+'), 'East'): 18
(((7.0, 33.0), '+'), 'South'): 14
(((25.0, 16.0), '+'), 'East'): 15
(((21.0, 37.0), '+'), 'South'): 17
(((0.0, 21.0), '+'), 'North'): 9
(((6.0, 4.0), '+'), 'North'): 3
(((18.0, 27.0), '+'), 'East'): 17
(((45.0, 14.0), '+'), 'West'): 19
(((22.0, 36.0), '+'), 'East'): 17
(((27.0, 19.0), '+'), 'North'): 15
(((26.0, 41.0), '+'), 'West'): 21
(((22.0, 40.0), '+'), 'North'): 18
(((30.0, 34.0), '+'), 'North'): 18
(((45.0, 20.0), '+'), 'South'): 20
(((0.0, 29.0), '+'), 'East'): 12
(((30.0, 15.0), '+'), 'North'): 16
(((36.0, 33.0), '+'), 'North'): 19
(((47.0, 47.0), '+'), 'West'): 20
(((24.0, 43.0), '+'), 'North'): 19
(((33.0, 13.0), '+'), 'West'): 16
(((26.0, 31.0), '+'), 'North'): 14
(((19.0, 45.0), '+'), 'South'): 18
(((10.0, 28.0), '+'), 'North'): 14
(((9.0, 34.0), '+'), 'South'): 14
(((8.0, 29.0), '+'), 'East'): 13
(((1.0, 5.0), '+'), 'North'): 1
(((47.0, 44.0), '+'), 'East'): 19
(((26.0, 34.0), '+'), 'North'): 17
(((25.0, 3.0), '+'), 'North'): 9
(((12.0, 41.0), '+'), 'South'): 14
(((13.0, 46.0), '+'), 'West'): 16
(((6.0, 37.0), '+'), 'South'): 14
(((34.0, 16.0), '+'), 'West'): 17
(((19.0, 37.0), '+'), 'North'): 18
(((2.0, 17.0), '+'), 'North'): 8
(((28.0, 38.0), '+'), 'North'): 16
(((41.0, 25.0), '+'), 'South'): 21
(((35.0, 33.0), '+'), 'East'): 19
(((26.0, 25.0), '+'), 'South'): 15
(((28.0, 23.0), '+'), 'North'): 15
(((22.0, 18.0), '+'), 'South'): 15
(((16.0, 47.0), '+'), 'North'): 18
(((37.0, 7.0), '+'), 'East'): 16
(((0.0, 30.0), '+'), 'East'): 11
(((27.0, 47.0), '+'), 'West'): 19
(((14.0, 26.0), '+'), 'West'): 15
(((38.0, 17.0), '+'), 'West'): 20
(((9.0, 26.0), '+'), 'North'): 15
(((31.0, 2.0), '+'), 'South'): 10
(((18.0, 28.0), '+'), 'North'): 17
(((22.0, 39.0), '+'), 'North'): 19
(((24.0, 26.0), '+'), 'South'): 16
(((43.0, 38.0), '+'), 'West'): 22
(((35.0, 11.0), '+'), 'South'): 15
(((41.0, 21.0), '+'), 'South'): 19
(((17.0, 43.0), '+'), 'South'): 18
(((18.0, 30.0), '+'), 'East'): 16
(((47.0, 29.0), '+'), 'West'): 22
(((17.0, 0.0), '+'), 'North'): 3
(((36.0, 26.0), '+'), 'South'): 17
(((15.0, 13.0), '+'), 'East'): 13
(((14.0, 15.0), '+'), 'North'): 15
(((24.0, 17.0), '+'), 'West'): 15
(((1.0, 40.0), '+'), 'South'): 14
(((30.0, 4.0), '+'), 'East'): 11
(((34.0, 11.0), '+'), 'North'): 15
(((41.0, 38.0), '+'), 'West'): 22
(((12.0, 33.0), '+'), 'West'): 14
(((43.0, 10.0), '+'), 'East'): 19
(((32.0, 17.0), '+'), 'North'): 16
(((8.0, 6.0), '+'), 'North'): 4
(((28.0, 45.0), '+'), 'North'): 19
(((2.0, 21.0), '+'), 'West'): 10
(((44.0, 27.0), '+'), 'North'): 21
(((20.0, 14.0), '+'), 'East'): 11
(((16.0, 12.0), '+'), 'West'): 14
(((24.0, 26.0), '+'), 'West'): 15
(((28.0, 35.0), '+'), 'South'): 18
(((25.0, 20.0), '+'), 'South'): 15
(((25.0, 17.0), '+'), 'South'): 14
(((11.0, 6.0), '+'), 'West'): 5
(((33.0, 35.0), '+'), 'North'): 17
(((11.0, 39.0), '+'), 'East'): 14
(((10.0, 6.0), '+'), 'South'): 4
(((16.0, 34.0), '+'), 'West'): 14
(((23.0, 40.0), '+'), 'East'): 19
(((28.0, 8.0), '+'), 'West'): 12
(((1.0, 6.0), '+'), 'West'): 1
(((41.0, 3.0), '+'), 'South'): 18
(((46.0, 19.0), '+'), 'East'): 21
(((41.0, 26.0), '+'), 'South'): 21
(((48.0, 40.0), '+'), 'East'): 22
(((48.0, 33.0), '+'), 'West'): 21
(((41.0, 44.0), '+'), 'North'): 19
(((23.0, 4.0), '+'), 'South'): 9
(((48.0, 1.0), '+'), 'South'): 19
(((22.0, 34.0), '+'), 'West'): 18
(((21.0, 15.0), '+'), 'South'): 13
(((26.0, 28.0), '+'), 'West'): 14
(((48.0, 13.0), '+'), 'West'): 20
(((21.0, 14.0), '+'), 'North'): 11
(((11.0, 12.0), '+'), 'South'): 13
(((44.0, 10.0), '+'), 'North'): 18
(((29.0, 16.0), '+'), 'South'): 16
(((39.0, 3.0), '+'), 'South'): 15
(((24.0, 39.0), '+'), 'North'): 19
(((21.0, 31.0), '+'), 'South'): 16
(((37.0, 3.0), '+'), 'North'): 15
(((27.0, 16.0), '+'), 'South'): 16
(((10.0, 29.0), '+'), 'West'): 15
(((47.0, 43.0), '+'), 'South'): 20
(((49.0, 30.0), '+'), 'South'): 22
(((10.0, 9.0), '+'), 'East'): 2
(((12.0, 4.0), '+'), 'South'): 5
(((40.0, 34.0), '|'), 'North'): 1
(((28.0, 10.0), '+'), 'East'): 14
(((23.0, 44.0), '+'), 'North'): 18
(((14.0, 40.0), '+'), 'West'): 15
(((20.0, 29.0), '+'), 'North'): 16
(((20.0, 37.0), '+'), 'South'): 17
(((34.0, 10.0), '+'), 'North'): 15
(((0.0, 42.0), '+'), 'North'): 12
(((48.0, 7.0), '+'), 'South'): 20
(((0.0, 35.0), '+'), 'South'): 13
(((38.0, 26.0), '+'), 'North'): 21
(((45.0, 8.0), '+'), 'South'): 19
(((46.0, 19.0), '+'), 'West'): 22
(((10.0, 1.0), '+'), 'West'): 3
(((37.0, 22.0), '+'), 'North'): 20
(((17.0, 23.0), '+'), 'North'): 17
(((21.0, 29.0), '+'), 'North'): 15
(((2.0, 41.0), '+'), 'North'): 13
(((26.0, 43.0), '+'), 'West'): 19
(((13.0, 28.0), '+'), 'West'): 14
(((44.0, 1.0), '+'), 'South'): 19
(((28.0, 44.0), '+'), 'North'): 19
(((39.0, 17.0), '+'), 'South'): 19
(((48.0, 5.0), '+'), 'North'): 20
(((31.0, 3.0), '+'), 'North'): 12
(((10.0, 0.0), '+'), 'West'): 2
(((9.0, 22.0), '+'), 'South'): 14
(((39.0, 44.0), '+'), 'North'): 20
(((5.0, 10.0), '+'), 'East'): 4
(((16.0, 13.0), '+'), 'West'): 15
(((43.0, 35.0), '+'), 'East'): 21
(((16.0, 33.0), '+'), 'West'): 14
(((10.0, 34.0), '+'), 'West'): 14
(((43.0, 49.0), '+'), 'West'): 20
(((0.0, 47.0), '+'), 'North'): 13
(((43.0, 4.0), '+'), 'North'): 19
(((40.0, 21.0), '+'), 'East'): 20
(((18.0, 11.0), '+'), 'South'): 12
(((31.0, 37.0), '+'), 'East'): 17
(((19.0, 10.0), '+'), 'North'): 12
(((23.0, 30.0), '+'), 'East'): 14
(((11.0, 35.0), '+'), 'North'): 14
(((14.0, 39.0), '+'), 'North'): 15
(((33.0, 11.0), '+'), 'East'): 15
(((20.0, 25.0), '+'), 'North'): 15
(((44.0, 28.0), '+'), 'North'): 21
(((16.0, 3.0), '+'), 'South'): 5
(((26.0, 49.0), '+'), 'West'): 18
(((21.0, 30.0), '+'), 'South'): 16
(((8.0, 23.0), '+'), 'South'): 15
(((30.0, 35.0), '+'), 'South'): 18
(((19.0, 2.0), '+'), 'North'): 8
(((40.0, 15.0), '+'), 'North'): 20
(((13.0, 4.0), '+'), 'North'): 5
(((20.0, 26.0), '+'), 'North'): 15
(((38.0, 49.0), '-'), 'East'): 3
(((19.0, 31.0), '+'), 'South'): 17
(((46.0, 16.0), '+'), 'West'): 20
(((38.0, 47.0), '-'), 'East'): 12
(((40.0, 11.0), '+'), 'East'): 18
(((8.0, 15.0), '+'), 'East'): 7
(((48.0, 14.0), '+'), 'North'): 19
(((27.0, 24.0), '+'), 'West'): 16
(((5.0, 3.0), '+'), 'East'): 3
(((34.0, 2.0), '+'), 'North'): 11
(((38.0, 42.0), '+'), 'West'): 21
(((44.0, 4.0), '+'), 'West'): 19
(((45.0, 17.0), '+'), 'West'): 21
(((24.0, 24.0), '+'), 'South'): 18
(((38.0, 2.0), '+'), 'North'): 14
(((23.0, 10.0), '+'), 'South'): 10
(((6.0, 31.0), '+'), 'North'): 14
(((45.0, 23.0), '+'), 'East'): 20
(((8.0, 7.0), '+'), 'South'): 4
(((47.0, 44.0), '-'), 'West'): 1
(((30.0, 49.0), '+'), 'South'): 20
(((5.0, 48.0), '+'), 'East'): 12
(((33.0, 19.0), '+'), 'East'): 16
(((31.0, 15.0), '+'), 'East'): 16
(((20.0, 48.0), '+'), 'South'): 18
(((14.0, 41.0), '+'), 'East'): 15
(((7.0, 43.0), '+'), 'East'): 13
(((41.0, 27.0), '+'), 'North'): 22
(((28.0, 8.0), '+'), 'South'): 11
(((24.0, 48.0), '+'), 'South'): 19
(((42.0, 30.0), '+'), 'West'): 23
(((33.0, 18.0), '+'), 'West'): 18
(((1.0, 18.0), '+'), 'East'): 9
(((15.0, 46.0), '+'), 'East'): 18
(((23.0, 3.0), '+'), 'East'): 9
(((46.0, 31.0), '+'), 'South'): 22
(((2.0, 13.0), '+'), 'South'): 6
(((31.0, 28.0), '+'), 'East'): 15
(((2.0, 21.0), '+'), 'North'): 10
(((6.0, 45.0), '+'), 'North'): 15
(((42.0, 36.0), '+'), 'South'): 20
(((38.0, 48.0), '|'), 'North'): 9
(((9.0, 21.0), '+'), 'South'): 16
(((39.0, 36.0), '+'), 'East'): 22
(((34.0, 35.0), '+'), 'North'): 18
(((33.0, 23.0), '+'), 'South'): 19
(((9.0, 1.0), '+'), 'West'): 2
(((34.0, 43.0), '+'), 'North'): 22
(((21.0, 36.0), '+'), 'North'): 17
(((4.0, 18.0), '+'), 'South'): 10
(((37.0, 39.0), '+'), 'North'): 21
(((37.0, 25.0), '+'), 'South'): 19
(((3.0, 35.0), '+'), 'East'): 13
(((44.0, 17.0), '+'), 'East'): 20
(((11.0, 1.0), '+'), 'East'): 2
(((33.0, 22.0), '+'), 'East'): 19
(((37.0, 28.0), '+'), 'South'): 21
(((38.0, 24.0), '+'), 'West'): 18
(((44.0, 47.0), '+'), 'South'): 21
(((26.0, 37.0), '+'), 'South'): 18
(((20.0, 12.0), '+'), 'South'): 11
(((9.0, 22.0), '+'), 'North'): 12
(((42.0, 24.0), '+'), 'West'): 20
(((15.0, 12.0), '+'), 'West'): 13
(((35.0, 43.0), '+'), 'East'): 21
(((40.0, 19.0), '+'), 'South'): 19
(((0.0, 41.0), '+'), 'East'): 14
(((32.0, 35.0), '+'), 'South'): 18
(((44.0, 35.0), '+'), 'West'): 20
(((3.0, 19.0), '+'), 'West'): 10
(((36.0, 10.0), '+'), 'East'): 16
(((35.0, 39.0), '+'), 'East'): 21
(((33.0, 11.0), '+'), 'North'): 15
(((10.0, 30.0), '+'), 'East'): 13
(((33.0, 18.0), '+'), 'North'): 16
(((43.0, 2.0), '+'), 'East'): 19
(((1.0, 37.0), '+'), 'West'): 13
(((21.0, 28.0), '+'), 'South'): 16
(((7.0, 24.0), '+'), 'East'): 15
(((17.0, 14.0), '+'), 'South'): 14
(((19.0, 27.0), '+'), 'East'): 16
(((24.0, 37.0), '+'), 'North'): 18
(((7.0, 47.0), '+'), 'East'): 16
(((26.0, 2.0), '+'), 'East'): 9
(((24.0, 47.0), '+'), 'West'): 18
(((33.0, 16.0), '+'), 'South'): 17
(((37.0, 48.0), '-'), 'East'): 15
(((7.0, 17.0), '+'), 'East'): 7
(((3.0, 28.0), '+'), 'South'): 14
(((12.0, 19.0), '+'), 'West'): 9
(((24.0, 17.0), '+'), 'South'): 15
(((22.0, 16.0), '+'), 'North'): 13
(((7.0, 27.0), '+'), 'West'): 16
(((33.0, 44.0), '+'), 'West'): 22
(((4.0, 43.0), '+'), 'North'): 15
(((38.0, 40.0), '+'), 'East'): 21
(((46.0, 26.0), '+'), 'South'): 22
(((24.0, 24.0), '+'), 'North'): 16
(((7.0, 36.0), '+'), 'East'): 14
(((9.0, 37.0), '+'), 'East'): 13
(((32.0, 15.0), '+'), 'South'): 16
(((0.0, 23.0), '+'), 'North'): 11
(((37.0, 24.0), '+'), 'South'): 18
(((2.0, 8.0), '+'), 'East'): 4
(((10.0, 33.0), '+'), 'North'): 13
(((28.0, 7.0), '+'), 'South'): 10
(((43.0, 42.0), '+'), 'South'): 21
(((39.0, 7.0), '+'), 'West'): 18
(((39.0, 28.0), '-'), 'West'): 1
(((44.0, 0.0), '+'), 'North'): 19
(((37.0, 15.0), '+'), 'South'): 18
(((38.0, 47.0), '+'), 'South'): 28
(((44.0, 46.0), '+'), 'East'): 21
(((43.0, 37.0), '+'), 'North'): 22
(((3.0, 23.0), '+'), 'East'): 14
(((43.0, 0.0), '+'), 'East'): 19
(((28.0, 14.0), '+'), 'North'): 16
(((28.0, 18.0), '+'), 'West'): 16
(((0.0, 26.0), '+'), 'North'): 12
(((40.0, 27.0), '+'), 'West'): 22
(((6.0, 36.0), '+'), 'West'): 15
(((48.0, 15.0), '+'), 'North'): 20
(((29.0, 22.0), '+'), 'South'): 14
(((43.0, 39.0), '+'), 'South'): 22
(((36.0, 22.0), '+'), 'South'): 20
(((21.0, 35.0), '+'), 'East'): 16
(((25.0, 25.0), '+'), 'East'): 15
(((4.0, 23.0), '+'), 'South'): 14
(((29.0, 13.0), '+'), 'North'): 15
(((36.0, 4.0), '+'), 'North'): 14
(((33.0, 9.0), '+'), 'East'): 15
(((3.0, 25.0), '+'), 'South'): 14
(((43.0, 5.0), '+'), 'East'): 19
(((5.0, 9.0), '+'), 'North'): 3
(((11.0, 34.0), '+'), 'North'): 14
(((27.0, 26.0), '+'), 'North'): 15
(((19.0, 21.0), '+'), 'North'): 16
(((32.0, 6.0), '+'), 'North'): 12
(((12.0, 47.0), '+'), 'South'): 14
(((25.0, 41.0), '+'), 'West'): 20
(((43.0, 24.0), '+'), 'North'): 20
(((40.0, 38.0), '+'), 'East'): 21
(((45.0, 10.0), '+'), 'East'): 19
(((14.0, 30.0), '+'), 'North'): 16
(((36.0, 10.0), '+'), 'West'): 17
(((28.0, 28.0), '+'), 'South'): 16
(((36.0, 20.0), '+'), 'West'): 18
(((40.0, 35.0), '+'), 'North'): 22
(((22.0, 4.0), '+'), 'East'): 8
(((44.0, 30.0), '+'), 'North'): 21
(((2.0, 35.0), '+'), 'West'): 14
(((17.0, 14.0), '+'), 'West'): 17
(((11.0, 39.0), '+'), 'North'): 15
(((39.0, 7.0), '+'), 'East'): 16
(((29.0, 2.0), '+'), 'East'): 10
(((46.0, 12.0), '+'), 'North'): 20
(((35.0, 25.0), '+'), 'North'): 19
(((23.0, 43.0), '+'), 'East'): 19
(((17.0, 28.0), '+'), 'East'): 18
(((11.0, 45.0), '+'), 'South'): 13
(((12.0, 42.0), '+'), 'South'): 13
(((2.0, 17.0), '+'), 'South'): 8
(((1.0, 44.0), '+'), 'North'): 12
(((25.0, 46.0), '+'), 'West'): 18
(((24.0, 29.0), '+'), 'East'): 14
(((23.0, 45.0), '+'), 'West'): 18
(((39.0, 49.0), '+'), 'East'): 22
(((22.0, 33.0), '+'), 'East'): 18
(((11.0, 28.0), '+'), 'West'): 14
(((34.0, 3.0), '+'), 'North'): 12
(((39.0, 26.0), '+'), 'West'): 21
(((29.0, 21.0), '+'), 'East'): 15
(((34.0, 31.0), '+'), 'West'): 19
(((16.0, 24.0), '+'), 'South'): 21
(((5.0, 8.0), '+'), 'South'): 3
(((31.0, 14.0), '+'), 'East'): 16
(((29.0, 15.0), '+'), 'East'): 16
(((49.0, 15.0), '+'), 'North'): 19
(((24.0, 32.0), '+'), 'South'): 15
(((24.0, 41.0), '+'), 'East'): 18
(((29.0, 44.0), '+'), 'North'): 19
(((47.0, 16.0), '+'), 'West'): 20
(((48.0, 13.0), '+'), 'North'): 19
(((5.0, 3.0), '+'), 'South'): 2
(((30.0, 45.0), '+'), 'West'): 19
(((34.0, 41.0), '+'), 'South'): 21
(((28.0, 23.0), '+'), 'East'): 15
(((32.0, 28.0), '+'), 'West'): 15
(((36.0, 26.0), '+'), 'West'): 20
(((43.0, 41.0), '+'), 'East'): 19
(((27.0, 30.0), '+'), 'North'): 15
(((18.0, 30.0), '+'), 'South'): 17
(((42.0, 15.0), '+'), 'West'): 19
(((11.0, 26.0), '+'), 'West'): 16
(((10.0, 48.0), '+'), 'South'): 13
(((26.0, 38.0), '+'), 'South'): 18
(((5.0, 37.0), '+'), 'South'): 14
(((7.0, 10.0), '+'), 'East'): 7
(((28.0, 26.0), '+'), 'North'): 15
(((26.0, 8.0), '+'), 'South'): 11
(((48.0, 23.0), '+'), 'West'): 21
(((16.0, 12.0), '+'), 'North'): 13
(((15.0, 4.0), '+'), 'North'): 7
(((27.0, 26.0), '+'), 'East'): 16
(((16.0, 39.0), '+'), 'West'): 16
(((38.0, 29.0), '+'), 'North'): 22
(((5.0, 2.0), '+'), 'West'): 2
(((6.0, 7.0), '+'), 'North'): 6
(((25.0, 42.0), '+'), 'South'): 19
(((14.0, 3.0), '+'), 'East'): 6
(((15.0, 38.0), '+'), 'North'): 15
(((29.0, 35.0), '+'), 'East'): 18
(((0.0, 21.0), '+'), 'East'): 10
(((3.0, 26.0), '+'), 'West'): 13
(((3.0, 39.0), '+'), 'South'): 13
(((21.0, 40.0), '+'), 'North'): 18
(((18.0, 10.0), '+'), 'East'): 11
(((31.0, 7.0), '+'), 'West'): 11
(((49.0, 38.0), '+'), 'West'): 22
(((6.0, 8.0), '+'), 'South'): 4
(((25.0, 45.0), '+'), 'West'): 19
(((36.0, 5.0), '+'), 'South'): 14
(((17.0, 39.0), '+'), 'East'): 14
(((38.0, 49.0), '-'), 'West'): 4
(((21.0, 21.0), '+'), 'East'): 17
(((32.0, 44.0), '+'), 'East'): 20
(((14.0, 32.0), '+'), 'West'): 14
(((10.0, 25.0), '+'), 'South'): 16
(((13.0, 40.0), '+'), 'South'): 15
(((24.0, 5.0), '+'), 'North'): 9
(((5.0, 30.0), '+'), 'East'): 14
(((15.0, 44.0), '+'), 'West'): 17
(((49.0, 7.0), '+'), 'West'): 19
(((12.0, 5.0), '+'), 'West'): 6
(((42.0, 35.0), '+'), 'East'): 20
(((24.0, 23.0), '+'), 'South'): 17
(((4.0, 23.0), '+'), 'West'): 13
(((6.0, 48.0), '+'), 'North'): 14
(((32.0, 27.0), '+'), 'North'): 15
(((18.0, 29.0), '+'), 'South'): 18
(((32.0, 36.0), '+'), 'North'): 18
(((20.0, 30.0), '+'), 'South'): 17
(((45.0, 29.0), '+'), 'South'): 21
(((21.0, 9.0), '+'), 'South'): 9
(((46.0, 25.0), '+'), 'South'): 22
(((47.0, 47.0), '+'), 'North'): 20
